,repo_id,time,first_treat,treat,ttc_d,count,id,post,y0_1,y0_2,y0_3,y0_4,age,size,watchers,forks,has_wiki
2718,17395836,8,6,0,11.204880555555555,25,304,1,20.778812437011844,5.002208264234383,5.134086727402644,4.562650233318637,714.6307175925926,31197,126,30,True
2719,17395836,9,6,0,2.232781635802469,3,304,1,20.778812437011844,5.002208264234383,5.134086727402644,4.562650233318637,714.6307175925926,31197,126,30,True
2720,17420913,1,0,0,74.38559067299006,205,305,0,74.38559067299006,66.56360612109115,58.58574956453979,107.51797493614305,714.0272916666667,48056,11759,2222,True
2721,17420913,2,0,0,66.56360612109115,167,305,0,74.38559067299006,66.56360612109115,58.58574956453979,107.51797493614305,714.0272916666667,48056,11759,2222,True
2722,17420913,3,0,0,58.58574956453979,101,305,0,74.38559067299006,66.56360612109115,58.58574956453979,107.51797493614305,714.0272916666667,48056,11759,2222,True
2723,17420913,4,0,0,107.51797493614305,116,305,0,74.38559067299006,66.56360612109115,58.58574956453979,107.51797493614305,714.0272916666667,48056,11759,2222,True
2724,17420913,5,0,0,126.05214218455744,118,305,1,74.38559067299006,66.56360612109115,58.58574956453979,107.51797493614305,714.0272916666667,48056,11759,2222,True
2725,17420913,6,0,0,156.84807628524047,134,305,1,74.38559067299006,66.56360612109115,58.58574956453979,107.51797493614305,714.0272916666667,48056,11759,2222,True
2726,17420913,7,0,0,133.94312485255955,157,305,1,74.38559067299006,66.56360612109115,58.58574956453979,107.51797493614305,714.0272916666667,48056,11759,2222,True
2727,17420913,8,0,0,74.42732408686311,181,305,1,74.38559067299006,66.56360612109115,58.58574956453979,107.51797493614305,714.0272916666667,48056,11759,2222,True
2728,17420913,9,0,0,103.60326093380615,188,305,1,74.38559067299006,66.56360612109115,58.58574956453979,107.51797493614305,714.0272916666667,48056,11759,2222,True
2729,17620347,1,9,0,59.95374565972222,128,306,0,59.95374565972222,137.9130319251543,311.11306802376413,299.50267856442247,707.7432638888889,421499,33871,9529,True
2730,17620347,2,9,0,137.9130319251543,192,306,0,59.95374565972222,137.9130319251543,311.11306802376413,299.50267856442247,707.7432638888889,421499,33871,9529,True
2731,17620347,3,9,0,311.11306802376413,233,306,0,59.95374565972222,137.9130319251543,311.11306802376413,299.50267856442247,707.7432638888889,421499,33871,9529,True
2732,17620347,4,9,0,299.50267856442247,236,306,0,59.95374565972222,137.9130319251543,311.11306802376413,299.50267856442247,707.7432638888889,421499,33871,9529,True
2733,17620347,5,9,0,305.17861872948896,158,306,1,59.95374565972222,137.9130319251543,311.11306802376413,299.50267856442247,707.7432638888889,421499,33871,9529,True
2734,17620347,6,9,0,270.4033270558694,236,306,1,59.95374565972222,137.9130319251543,311.11306802376413,299.50267856442247,707.7432638888889,421499,33871,9529,True
2735,17620347,7,9,0,294.36855240314327,152,306,1,59.95374565972222,137.9130319251543,311.11306802376413,299.50267856442247,707.7432638888889,421499,33871,9529,True
2736,17620347,8,9,0,178.82134187561456,113,306,1,59.95374565972222,137.9130319251543,311.11306802376413,299.50267856442247,707.7432638888889,421499,33871,9529,True
2737,17620347,9,9,0,245.59674382716048,105,306,1,59.95374565972222,137.9130319251543,311.11306802376413,299.50267856442247,707.7432638888889,421499,33871,9529,True
2738,17634071,3,5,1,83.02348633307966,73,307,0,,,83.02348633307966,88.91907424181429,707.3828472222223,223710,3348,2360,True
2739,17634071,4,5,1,88.91907424181429,207,307,0,,,83.02348633307966,88.91907424181429,707.3828472222223,223710,3348,2360,True
